"","X","Y","pred"
"1",-117.3262,32.5163,0.0125407864954965
"2",-116.9096,32.5163,0.0202150956178819
"3",-116.4929,32.5163,0.00872334567632306
"4",-116.0762,32.5163,0.0140069088840167
"5",-115.6596,32.5163,0.0108311941911174
"6",-115.2429,32.5163,0.0141956242489054
"7",-114.8262,32.5163,0.00581713787893166
"8",-116.9096,32.0996,0.0139052151905873
"9",-116.4929,32.0996,0.0359832464057519
"10",-116.0762,32.0996,0.0159719875145885
"11",-115.2429,32.0996,0.0128871119581248
"12",-114.8262,32.0996,0.0124703139723645
"13",-112.7429,32.0996,0.0143445597367575
"14",-116.9096,31.6829,0.0185002638804458
"15",-116.4929,31.6829,0.0185943934193409
"16",-116.0762,31.6829,0.0167824124936897
"17",-115.6596,31.6829,0.0147382623661552
"18",-115.2429,31.6829,0.0140105962233657
"19",-114.4096,31.6829,0.012594510729778
"20",-113.5762,31.6829,0.0116816349994854
"21",-112.7429,31.6829,0.0137585170775534
"22",-112.3262,31.6829,0.0145088233859271
"23",-111.4929,31.6829,0.0121465496596035
"24",-108.1596,31.6829,0.0135205650423303
"25",-107.7429,31.6829,0.00591824405551785
"26",-106.4929,31.6829,0.00327230177481292
"27",-106.0762,31.6829,0.0109292364778004
"28",-116.4929,31.2663,0.00915013395934846
"29",-116.0762,31.2663,0.0143768952886265
"30",-115.6596,31.2663,0.0151115982338108
"31",-114.8262,31.2663,0.0168632971208247
"32",-113.5762,31.2663,0.00127031106093714
"33",-112.7429,31.2663,0.0139674230220419
"34",-112.3262,31.2663,0.0146056067505794
"35",-111.4929,31.2663,0.0126464662378625
"36",-111.0762,31.2663,0.0300787480491202
"37",-110.6596,31.2663,0.0135108406383494
"38",-110.2429,31.2663,0.0100491861296044
"39",-109.8262,31.2663,0.00550665417207227
"40",-109.4096,31.2663,0.0282283169893397
"41",-108.5762,31.2663,0.016024303007843
"42",-108.1596,31.2663,0.0150516220372821
"43",-107.7429,31.2663,0.0144007039874965
"44",-106.4929,31.2663,0.0140309478913341
"45",-106.0762,31.2663,0.0139996620119121
"46",-105.6596,31.2663,0.0148035489023239
"47",-116.0762,30.8496,0.025174683947405
"48",-114.8262,30.8496,0.0197376094764353
"49",-113.1596,30.8496,0.0135564146101316
"50",-112.7429,30.8496,0.0146334309977961
"51",-112.3262,30.8496,0.0165538915922637
"52",-111.9096,30.8496,0.0151060853584101
"53",-111.4929,30.8496,0.0153244408560945
"54",-111.0762,30.8496,0.0120445291638932
"55",-110.6596,30.8496,0.010557013379934
"56",-110.2429,30.8496,0.0139807479937702
"57",-109.8262,30.8496,0.0167887336733308
"58",-109.4096,30.8496,0.0218208862792159
"59",-108.5762,30.8496,0.0162762850347962
"60",-108.1596,30.8496,0.016076717025606
"61",-107.7429,30.8496,0.0160007833725624
"62",-107.3262,30.8496,0.0158888201114745
"63",-116.0762,30.4329,0.0154302302729605
"64",-115.6596,30.4329,0.0166891009665544
"65",-115.2429,30.4329,0.0158442651283594
"66",-114.8262,30.4329,0.0157229476620178
"67",-113.1596,30.4329,0.0146971848620886
"68",-112.7429,30.4329,0.0150626213911685
"69",-112.3262,30.4329,0.0159418654353932
"70",-111.9096,30.4329,0.0156841368224448
"71",-111.4929,30.4329,0.0177960928072243
"72",-111.0762,30.4329,0.0169769191246426
"73",-110.6596,30.4329,0.0151443969596988
"74",-110.2429,30.4329,0.0159512376745537
"75",-109.8262,30.4329,0.0167887026379594
"76",-109.4096,30.4329,0.0175490469593206
"77",-108.9929,30.4329,0.0166211185324965
"78",-108.5762,30.4329,0.016343851725991
"79",-108.1596,30.4329,0.0178491850675628
"80",-107.7429,30.4329,0.0188346626376974
"81",-107.3262,30.4329,0.0160848846213594
"82",-106.9096,30.4329,0.0157940528082429
"83",-106.4929,30.4329,0.0156555545477472
"84",-115.6596,30.0163,0.0118866549944377
"85",-115.2429,30.0163,0.0155659041838125
"86",-114.8262,30.0163,0.0154754244359043
"87",-112.7429,30.0163,0.0151038955166927
"88",-111.9096,30.0163,0.0153028813638082
"89",-111.4929,30.0163,0.0155437203956203
"90",-111.0762,30.0163,0.0157189159755416
"91",-110.6596,30.0163,0.0160532395337388
"92",-110.2429,30.0163,0.0191908104392344
"93",-109.8262,30.0163,0.00905316700279158
"94",-109.4096,30.0163,0.0177519070663545
"95",-108.9929,30.0163,0.0163865063960918
"96",-108.5762,30.0163,0.016099110468694
"97",-108.1596,30.0163,0.0164776545171488
"98",-107.7429,30.0163,0.0169700250774429
"99",-107.3262,30.0163,0.0161941520495075
"100",-106.9096,30.0163,0.0156564639364239
"101",-106.4929,30.0163,0.0154723672804946
"102",-106.0762,30.0163,0.0154315478748625
"103",-104.8262,30.0163,0.014891575387071
"104",-115.2429,29.5996,0.0155167513240075
"105",-114.8262,29.5996,0.0154532760179592
"106",-112.3262,29.5996,0.0149683146359155
"107",-111.0762,29.5996,0.014498494875567
"108",-110.6596,29.5996,0.0134110252958503
"109",-110.2429,29.5996,0.0165412208719343
"110",-109.8262,29.5996,0.0211305826936109
"111",-109.4096,29.5996,0.0185206254595637
"112",-108.9929,29.5996,0.0159930652357074
"113",-108.5762,29.5996,0.0155674224178035
"114",-108.1596,29.5996,0.0152766989499022
"115",-107.7429,29.5996,0.0233435785425207
"116",-107.3262,29.5996,0.0164004026526244
"117",-106.9096,29.5996,0.0152417344744761
"118",-106.4929,29.5996,0.0150138648540651
"119",-106.0762,29.5996,0.0150266786210019
"120",-105.2429,29.5996,0.0151147321501592
"121",-104.8262,29.5996,0.0134929110482322
"122",-104.4096,29.5996,0.000133931663794344
"123",-103.9929,29.5996,0.0137007358484761
"124",-114.4096,29.1829,0.015404705528744
"125",-113.9929,29.1829,0.0153188464124578
"126",-112.3262,29.1829,0.014632364971857
"127",-111.9096,29.1829,0.0142813416644837
"128",-111.4929,29.1829,0.0142897347290516
"129",-111.0762,29.1829,0.0107261536690709
